Name,Type,Description,Policy Area,Introduced,Sponsor,Cosponsors,Committees,Link,Introduced,Failed Assembly Committee,Passed Assembly Committee,Failed Assembly,Passed Assembly,Failed Senate Committee,Passed Senate Committee,Failed Senate,Passed Senate,Resolving Differences,To Governor,Veto,Became Law
H.R. 4,Assembly resolution,To promote positive parenting and to support the health and well-being of children and families.,Other,12/7/20,Asm. Mark Stone (D-Monterey),,Not assigned,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220HR4,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,
Introduced by,Principal coauthors,Coauthors,,,,,,,,,,,,,,,,,,,
Assembly Member Stone,,"Assembly Members Aguiar-Curry, Bauer-Kahan, Boerner Horvath, Burke, Carrillo, Chen, Chiu, Megan Dahle, Cristina Garcia, Lorena Gonzalez, Grayson, Kalra, Lackey, Levine, Mathis, Patterson, Quirk-Silva, Luz Rivas, Ting, Choi, Nguyen, Quirk, Seyarto, Wicks, Arambula, Bennett, Berman, Bigelow, Bloom, Bonta, Calderon, Chau, Cooley, Cooper, Cunningham, Daly, Davies, Flora, Fong, Friedman, Gallagher, Eduardo Garcia, Gipson, Gray, Holden, Irwin, Jones-Sawyer, Kiley, Lee, Low, Maienschein, Mayes, McCarty, Medina, Mullin, Muratsuchi, O’Donnell, Petrie-Norris, Ramos, Rendon, Reyes, Robert Rivas, Rodriguez, Blanca Rubio, Santiago, Smith, Valladares, Villapudua, Voepel, Waldron, and Ward",,,,,,,,,,,,,,,,,,,
Date,Action,Description,,,,,,,,,,,,,,,,,,,
12/7/20,Introduced.,,,,,,,,,,,,,,,,,,,,
1/11/21,Referred to the Assembly Rules Committee.,,,,,,,,,,,,,,,,,,,,
1/11/21,Coauthors revised.,,,,,,,,,,,,,,,,,,,,
1/11/21,Rules Committee votes 11-0 to adopt the resolution and add it to the consent calendar.,,,,,,,,,,,,,,,,,,,,
1/15/21,Coauthors revised.,,,,,,,,,,,,,,,,,,,,
1/15/21,Read and adopted by the Assembly.,,,,,,,,,,,,,,,,,,,,
