,,,Final Official Precinct Results by Contest,,,
12/03/2020 7:57 PM,,,,,,Page 61
,,,,,ASSEMBLY DISTRICT 13,
Cumulative Totals,,,,,,
Precinct,Registration,Ballots Cast,Turnout (%),KATHY MILLER,CARLOS VILLAPUDUA,
11101,"6,752","4,585",67.9,"1,988","2,404",
11102,"5,399","3,240",60,"1,266","1,820",
11103,"4,183","2,947",70.5,"1,157","1,652",
11109,"3,612","2,280",63.1,858,"1,283",
11111,"4,755","3,613",76,"1,608","1,776",
11112,"2,877","1,988",69.1,915,993,
11114,"1,454","1,130",77.7,510,539,
11117,"4,522","2,811",62.2,"1,221","1,409",
11118,"1,515","1,171",77.3,539,545,
11124,385,289,75.1,99,175,
11130,"4,119","2,980",72.3,"1,219","1,548",
11131,0,0,0,0,0,
11141,0,0,0,0,0,
11146,23,17,73.9,3,14,
11151,359,266,74.1,113,131,
11166,"3,427","2,628",76.7,"1,204","1,260",
11177,0,0,0,0,0,
11198,0,9,0,5,2,
11199,5,2,40,0,1,
11201,"3,611","2,877",79.7,"1,302","1,346",
11203,"3,121","2,664",85.4,"1,190","1,234",
11205,"4,861","3,725",76.6,"1,532","1,880",
11209,"6,090","4,556",74.8,"2,147","2,075",
11211,"1,290",887,68.8,427,386,
11215,"2,631","1,848",70.2,808,894,
11216,"3,001","2,165",72.1,"1,051",974,
11217,"2,666","2,316",86.9,"1,108","1,036",
11218,"4,246","3,419",80.5,"1,599","1,560",
11224,"6,585","4,889",74.2,"2,076","2,470",
11229,886,708,79.9,289,378,
11233,"2,017","1,374",68.1,609,653,
11234,"1,364","1,019",74.7,528,435,
11235,"2,053","1,377",67.1,690,587,
11239,"2,927","2,275",77.7,976,"1,111",
11244,"4,883","3,556",72.8,"1,608","1,644",
11265,"1,067",906,84.9,351,456,
11266,"1,440","1,095",76,560,453,
11270,"4,154","2,950",71,"1,368","1,336",
11301,0,0,0,0,0,
11302,"6,698","5,024",75,"2,264","2,355",
11303,"5,525","4,620",83.6,"2,038","2,171",
11304,0,374,0,178,165,
11305,"2,589","2,316",89.5,"1,090","1,011",
11306,"3,926","3,004",76.5,"1,255","1,494",
11308,"2,149","1,798",83.7,811,810,
11309,"3,480","2,960",85.1,"1,314","1,375",
11310,917,660,72,303,319,
11313,25,22,88,10,7,
11327,"5,755","4,354",75.7,"1,901","2,096",
11335,"5,761","4,818",83.6,"2,121","2,274",
11390,0,0,0,0,0,
33501,"6,097","4,893",80.3,"2,192","2,136",
33502,"6,400","5,290",82.7,"2,603","2,066",
33503,"6,222","4,967",79.8,"2,234","2,109",
33507,7,2,28.6,0,2,
33508,"6,757","5,322",78.8,"2,466","2,237",
33514,"4,016","3,381",84.2,"1,521","1,403",
,,,,,,P-61
,,,Final Official Precinct Results by Contest,,,
12/03/2020 7:57 PM,,,,,,Page 62
,,,,,ASSEMBLY DISTRICT 13,
Cumulative Totals,,,,,,
Precinct,Registration,Ballots Cast,Turnout (%),KATHY MILLER,CARLOS VILLAPUDUA,
33520,"5,613","4,776",85.1,"2,301","1,928",
33521,"6,609","5,609",84.9,"2,675","2,277",
33543,"5,210","4,506",86.5,"2,063","1,820",
33544,11,10,90.9,2,4,
33556,280,216,77.1,97,95,
42436,0,4,0,2,1,
42442,2,1,50,0,0,
84316,4,4,100,1,2,
84502,0,0,0,0,0,
91101,562,371,66,166,190,
91102,306,225,73.5,86,121,
91103,"1,709","1,119",65.5,354,718,
91105,669,470,70.3,163,286,
91108,"3,415","2,642",77.4,977,"1,427",
91113,946,756,79.9,225,424,
91121,312,225,72.1,75,128,
91190,911,680,74.6,246,356,
91199,20,18,90,8,7,
91201,91,69,75.8,19,32,
91202,"3,186","2,404",75.5,990,"1,205",
91203,"1,464","1,093",74.7,407,585,
91205,377,320,84.9,157,144,
91206,352,247,70.2,95,130,
91209,0,93,0,33,52,
91214,0,0,0,0,0,
91215,451,297,65.9,113,164,
91216,"3,537","2,657",75.1,914,"1,346",
91224,717,524,73.1,183,266,
91301,"1,269","1,069",84.2,326,601,
91303,"2,109","1,669",79.1,650,862,
91304,0,0,0,0,0,
91307,106,102,96.2,51,39,
91309,521,424,81.4,134,210,
91310,12,8,66.7,5,3,
91311,0,0,0,0,0,
91313,0,0,0,0,0,
91315,106,97,91.5,42,38,
91401,244,184,75.4,68,94,
91408,"3,800","3,346",88.1,"1,163","1,689",
91417,64,48,75,19,21,
92301,6,4,66.7,1,3,
92404,121,111,91.7,30,62,
92413,948,814,85.9,228,453,
92414,506,392,77.5,121,195,
92425,10,7,70,4,3,
92432,435,366,84.1,121,198,
92497,296,244,82.4,74,124,
92498,131,90,68.7,39,36,
93304,1,1,100,1,0,
93501,"2,588","2,241",86.6,785,"1,058",
93503,657,551,83.9,185,248,
93504,526,427,81.2,165,201,
93505,863,732,84.8,278,333,
93511,"3,383","3,026",89.4,"1,674","1,012",
93515,438,384,87.7,106,190,
93526,64,58,90.6,14,29,
93529,11,11,100,2,9,
,,,,,,P-62
,,,Final Official Precinct Results by Contest,,,
12/03/2020 7:57 PM,,,,,,Page 63
,,,,,ASSEMBLY DISTRICT 13,
Cumulative Totals,,,,,,
Precinct,Registration,Ballots Cast,Turnout (%),KATHY MILLER,CARLOS VILLAPUDUA,
93531,"5,497","4,695",85.4,"2,594","1,589",
94107,410,191,46.6,72,97,
94114,360,251,69.7,79,147,
94311,4,5,125,1,4,
Vote Center Totals,"230,844","2,983",1.3,997,"1,529",
Vote by Mail Totals,"230,844","162,513",70.4,"72,946","75,018",
Election Day Totals,"230,844","8,322",3.6,"2,816","4,513",
Provisional Totals,"230,844","5,433",2.4,"1,850","2,686",
Grand Totals,"230,844","179,251",77.7,"78,609","83,746",
,,,,,,P-63
