P,,,,Statement of Votes Cast,,,,Date:12/06/16
,,,,,,,,Time:10:17:46
,,,,2016 General Election,,,,
,,,,,,,,Page:2605 of 6804
,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,,
by Precinct,,,,,,,,
,,,OFFICIAL FINAL RESULTS,,,,,PDF Page: 3035 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,,
Jurisdiction Wide,,,,,,,,
11101,,,,,,,,
Polling OS,466,1,100,97,43,44.33%,54,55.67%
Polling TS,466,1,0,0,0,-,0,-
VBM,466,1,110,105,36,34.29%,69,65.71%
Early,466,1,0,0,0,-,0,-
Provisional,466,1,36,33,14,42.42%,19,57.58%
Total,466,5,246,235,93,39.57%,142,60.43%
11102,,,,,,,,
Polling OS,760,1,122,119,50,42.02%,69,57.98%
Polling TS,760,1,22,20,7,35.00%,13,65.00%
VBM,760,1,232,220,69,31.36%,151,68.64%
Early,760,1,0,0,0,-,0,-
Provisional,760,1,61,57,21,36.84%,36,63.16%
Total,760,5,437,416,147,35.34%,269,64.66%
11103,,,,,,,,
Polling OS,866,1,120,120,25,20.83%,95,79.17%
Polling TS,866,1,1,1,0,0.00%,1,100.00%
VBM,866,1,246,241,72,29.88%,169,70.12%
Early,866,1,0,0,0,-,0,-
Provisional,866,1,70,67,20,29.85%,47,70.15%
Total,866,5,437,429,117,27.27%,312,72.73%
11104,,,,,,,,
Polling OS,1787,1,192,188,74,39.36%,114,60.64%
Polling TS,1787,1,1,1,1,100.00%,0,0.00%
VBM,1787,1,559,544,210,38.60%,334,61.40%
Early,1787,1,0,0,0,-,0,-
Provisional,1787,1,102,93,41,44.09%,52,55.91%
Total,1787,5,854,826,326,39.47%,500,60.53%
11105,,,,,,,,
Polling OS,795,1,63,60,20,33.33%,40,66.67%
Polling TS,795,1,0,0,0,-,0,-
VBM,795,1,218,216,62,28.70%,154,71.30%
Early,795,1,0,0,0,-,0,-
Provisional,795,1,68,62,23,37.10%,39,62.90%
Total,795,5,349,338,105,31.07%,233,68.93%
11107,,,,,,,,
Polling OS,743,1,161,151,63,41.72%,88,58.28%
Polling TS,743,1,4,4,1,25.00%,3,75.00%
VBM,743,1,173,169,56,33.14%,113,66.86%
Early,743,1,0,0,0,-,0,-
Provisional,743,1,42,37,16,43.24%,21,56.76%
P,,,,Statement of Votes Cast,,,,Date:12/06/16
,,,,,,,,Time:10:17:46
,,,,2016 General Election,,,,
,,,,,,,,Page:2606 of 6804
,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,,
by Precinct,,,,,,,,
,,,OFFICIAL FINAL RESULTS,,,,,PDF Page: 3036 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,,
Total,743,5,380,361,136,37.67%,225,62.33%
11108,,,,,,,,
Polling OS,776,1,91,86,41,47.67%,45,52.33%
Polling TS,776,1,0,0,0,-,0,-
VBM,776,1,200,197,68,34.52%,129,65.48%
Early,776,1,0,0,0,-,0,-
Provisional,776,1,56,48,18,37.50%,30,62.50%
Total,776,5,347,331,127,38.37%,204,61.63%
11109,,,,,,,,
Polling OS,810,1,119,114,42,36.84%,72,63.16%
Polling TS,810,1,0,0,0,-,0,-
VBM,810,1,231,226,98,43.36%,128,56.64%
Early,810,1,0,0,0,-,0,-
Provisional,810,1,65,60,31,51.67%,29,48.33%
Total,810,5,415,400,171,42.75%,229,57.25%
11110,,,,,,,,
Polling OS,1248,1,78,76,30,39.47%,46,60.53%
Polling TS,1248,1,0,0,0,-,0,-
VBM,1248,1,307,297,120,40.40%,177,59.60%
Early,1248,1,0,0,0,-,0,-
Provisional,1248,1,77,68,26,38.24%,42,61.76%
Total,1248,5,462,441,176,39.91%,265,60.09%
11111,,,,,,,,
Polling OS,1354,1,184,175,64,36.57%,111,63.43%
Polling TS,1354,1,0,0,0,-,0,-
VBM,1354,1,557,521,167,32.05%,354,67.95%
Early,1354,1,0,0,0,-,0,-
Provisional,1354,1,104,91,39,42.86%,52,57.14%
Total,1354,5,845,787,270,34.31%,517,65.69%
11112,,,,,,,,
Polling OS,775,1,77,75,36,48.00%,39,52.00%
Polling TS,775,1,0,0,0,-,0,-
VBM,775,1,197,191,69,36.13%,122,63.87%
Early,775,1,0,0,0,-,0,-
Provisional,775,1,60,56,30,53.57%,26,46.43%
Total,775,5,334,322,135,41.93%,187,58.07%
11114,,,,,,,,
Polling OS,1637,1,185,177,74,41.81%,103,58.19%
Polling TS,1637,1,0,0,0,-,0,-
VBM,1637,1,550,525,160,30.48%,365,69.52%
Early,1637,1,0,0,0,-,0,-
Provisional,1637,1,100,88,22,25.00%,66,75.00%
P,,,,Statement of Votes Cast,,,,Date:12/06/16
,,,,,,,,Time:10:17:46
,,,,2016 General Election,,,,
,,,,,,,,Page:2607 of 6804
,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,,
by Precinct,,,,,,,,
,,,OFFICIAL FINAL RESULTS,,,,,PDF Page: 3037 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,,
Total,1637,5,835,790,256,32.41%,534,67.59%
11115,,,,,,,,
Polling OS,1188,1,144,137,53,38.69%,84,61.31%
Polling TS,1188,1,0,0,0,-,0,-
VBM,1188,1,435,421,130,30.88%,291,69.12%
Early,1188,1,0,0,0,-,0,-
Provisional,1188,1,101,92,35,38.04%,57,61.96%
Total,1188,5,680,650,218,33.54%,432,66.46%
11116,,,,,,,,
Polling OS,1474,1,250,234,83,35.47%,151,64.53%
Polling TS,1474,1,0,0,0,-,0,-
VBM,1474,1,427,417,157,37.65%,260,62.35%
Early,1474,1,0,0,0,-,0,-
Provisional,1474,1,102,87,29,33.33%,58,66.67%
Total,1474,5,779,738,269,36.45%,469,63.55%
11117,,,,,,,,
Polling OS,1599,1,174,171,59,34.50%,112,65.50%
Polling TS,1599,1,0,0,0,-,0,-
VBM,1599,1,451,422,146,34.60%,276,65.40%
Early,1599,1,0,0,0,-,0,-
Provisional,1599,1,119,109,45,41.28%,64,58.72%
Total,1599,5,744,702,250,35.61%,452,64.39%
11118,,,,,,,,
Polling OS,1425,1,211,192,71,36.98%,121,63.02%
Polling TS,1425,1,5,5,3,60.00%,2,40.00%
VBM,1425,1,563,525,176,33.52%,349,66.48%
Early,1425,1,0,0,0,-,0,-
Provisional,1425,1,106,87,33,37.93%,54,62.07%
Total,1425,5,885,809,283,34.98%,526,65.02%
11119,,,,,,,,
Polling OS,455,1,18,18,11,61.11%,7,38.89%
Polling TS,455,1,0,0,0,-,0,-
VBM,455,1,83,76,26,34.21%,50,65.79%
Early,455,1,0,0,0,-,0,-
Provisional,455,1,25,23,7,30.43%,16,69.57%
Total,455,5,126,117,44,37.61%,73,62.39%
11120,,,,,,,,
Polling OS,1535,1,187,184,81,44.02%,103,55.98%
Polling TS,1535,1,0,0,0,-,0,-
VBM,1535,1,479,462,197,42.64%,265,57.36%
Early,1535,1,0,0,0,-,0,-
Provisional,1535,1,123,101,46,45.54%,55,54.46%
P,,,,Statement of Votes Cast,,,,Date:12/06/16
,,,,,,,,Time:10:17:46
,,,,2016 General Election,,,,
,,,,,,,,Page:2608 of 6804
,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,,
by Precinct,,,,,,,,
,,,OFFICIAL FINAL RESULTS,,,,,PDF Page: 3038 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,,
Total,1535,5,789,747,324,43.37%,423,56.63%
11121,,,,,,,,
Polling OS,1277,1,206,203,67,33.00%,136,67.00%
Polling TS,1277,1,0,0,0,-,0,-
VBM,1277,1,527,497,156,31.39%,341,68.61%
Early,1277,1,0,0,0,-,0,-
Provisional,1277,1,106,96,44,45.83%,52,54.17%
Total,1277,5,839,796,267,33.54%,529,66.46%
11122,,,,,,,,
Polling OS,1618,1,195,189,75,39.68%,114,60.32%
Polling TS,1618,1,0,0,0,-,0,-
VBM,1618,1,459,449,192,42.76%,257,57.24%
Early,1618,1,0,0,0,-,0,-
Provisional,1618,1,154,139,68,48.92%,71,51.08%
Total,1618,5,808,777,335,43.11%,442,56.89%
11124,,,,,,,,
Polling OS,804,1,105,103,53,51.46%,50,48.54%
Polling TS,804,1,0,0,0,-,0,-
VBM,804,1,254,232,77,33.19%,155,66.81%
Early,804,1,0,0,0,-,0,-
Provisional,804,1,67,61,27,44.26%,34,55.74%
Total,804,5,426,396,157,39.65%,239,60.35%
11125,,,,,,,,
Polling OS,1438,1,310,298,88,29.53%,210,70.47%
Polling TS,1438,1,2,2,0,0.00%,2,100.00%
VBM,1438,1,614,585,144,24.62%,441,75.38%
Early,1438,1,0,0,0,-,0,-
Provisional,1438,1,95,84,27,32.14%,57,67.86%
Total,1438,5,1021,969,259,26.73%,710,73.27%
11127,,,,,,,,
Polling OS,1490,1,223,217,74,34.10%,143,65.90%
Polling TS,1490,1,0,0,0,-,0,-
VBM,1490,1,550,528,173,32.77%,355,67.23%
Early,1490,1,0,0,0,-,0,-
Provisional,1490,1,132,127,48,37.80%,79,62.20%
Total,1490,5,905,872,295,33.83%,577,66.17%
11130,,,,,,,,
Polling OS,468,1,74,70,25,35.71%,45,64.29%
Polling TS,468,1,0,0,0,-,0,-
VBM,468,1,148,142,52,36.62%,90,63.38%
Early,468,1,0,0,0,-,0,-
Provisional,468,1,31,24,7,29.17%,17,70.83%
P,,,,Statement of Votes Cast,,,,Date:12/06/16
,,,,,,,,Time:10:17:46
,,,,2016 General Election,,,,
,,,,,,,,Page:2609 of 6804
,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,,
by Precinct,,,,,,,,
,,,OFFICIAL FINAL RESULTS,,,,,PDF Page: 3039 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,,
Total,468,5,253,236,84,35.59%,152,64.41%
11134,,,,,,,,
Polling OS,722,1,126,123,45,36.59%,78,63.41%
Polling TS,722,1,1,1,1,100.00%,0,0.00%
VBM,722,1,227,222,85,38.29%,137,61.71%
Early,722,1,0,0,0,-,0,-
Provisional,722,1,62,58,30,51.72%,28,48.28%
Total,722,5,416,404,161,39.85%,243,60.15%
11137,,,,,,,,
Polling OS,838,1,137,132,39,29.55%,93,70.45%
Polling TS,838,1,0,0,0,-,0,-
VBM,838,1,329,322,110,34.16%,212,65.84%
Early,838,1,0,0,0,-,0,-
