P,,,,"Statement of Votes Cast
2016 General Election",,,,"Date:12/06/16
Time:10:17:49
Page:2659 of 6804"
,,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,
by Precinct,,,,OFFICIAL FINAL RESULTS,,,,PDF Page: 3089 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,
Total,-,-,-,-,-,-,-,-
0094408,,,,,,,,
Polling OS,-,-,-,-,-,-,-,-
Polling TS,-,-,-,-,-,-,-,-
VBM,-,-,-,-,-,-,-,-
Early,-,-,-,-,-,-,-,-
Provisional,-,-,-,-,-,-,-,-
Total,-,-,-,-,-,-,-,-
0094410,,,,,,,,
Polling OS,-,-,-,-,-,-,-,-
Polling TS,-,-,-,-,-,-,-,-
VBM,-,-,-,-,-,-,-,-
Early,-,-,-,-,-,-,-,-
Provisional,-,-,-,-,-,-,-,-
Total,-,-,-,-,-,-,-,-
0094501,,,,,,,,
Polling OS,-,-,-,-,-,-,-,-
Polling TS,-,-,-,-,-,-,-,-
VBM,-,-,-,-,-,-,-,-
Early,-,-,-,-,-,-,-,-
Provisional,-,-,-,-,-,-,-,-
Total,-,-,-,-,-,-,-,-
0094503,,,,,,,,
Polling OS,-,-,-,-,-,-,-,-
Polling TS,-,-,-,-,-,-,-,-
VBM,-,-,-,-,-,-,-,-
Early,-,-,-,-,-,-,-,-
Provisional,-,-,-,-,-,-,-,-
Total,-,-,-,-,-,-,-,-
0094504,,,,,,,,
Polling OS,-,-,-,-,-,-,-,-
Polling TS,-,-,-,-,-,-,-,-
VBM,-,-,-,-,-,-,-,-
Early,-,-,-,-,-,-,-,-
Provisional,-,-,-,-,-,-,-,-
Total,-,-,-,-,-,-,-,-
M111120,,,,,,,,
Polling OS,65,1,0,0,0,-,0,-
Polling TS,65,1,0,0,0,-,0,-
VBM,65,1,28,28,5,17.86%,23,82.14%
Early,65,1,0,0,0,-,0,-
Provisional,65,1,4,4,1,25.00%,3,75.00%

P,,,,"Statement of Votes Cast
2016 General Election",,,,"Date:12/06/16
Time:10:17:49
Page:2660 of 6804"
,,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,
by Precinct,,,,OFFICIAL FINAL RESULTS,,,,PDF Page: 3090 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,
Total,65,5,32,32,6,18.75%,26,81.25%
M111130,,,,,,,,
Polling OS,298,1,0,0,0,-,0,-
Polling TS,298,1,0,0,0,-,0,-
VBM,298,1,106,105,42,40.00%,63,60.00%
Early,298,1,0,0,0,-,0,-
Provisional,298,1,21,18,8,44.44%,10,55.56%
Total,298,5,127,123,50,40.65%,73,59.35%
M111190,,,,,,,,
Polling OS,256,1,0,0,0,-,0,-
Polling TS,256,1,0,0,0,-,0,-
VBM,256,1,111,105,49,46.67%,56,53.33%
Early,256,1,0,0,0,-,0,-
Provisional,256,1,14,13,1,7.69%,12,92.31%
Total,256,5,125,118,50,42.37%,68,57.63%
M111230,,,,,,,,
Polling OS,454,1,0,0,0,-,0,-
Polling TS,454,1,0,0,0,-,0,-
VBM,454,1,149,144,59,40.97%,85,59.03%
Early,454,1,0,0,0,-,0,-
Provisional,454,1,29,24,12,50.00%,12,50.00%
Total,454,5,178,168,71,42.26%,97,57.74%
M111310,,,,,,,,
Polling OS,5,1,0,0,0,-,0,-
Polling TS,5,1,0,0,0,-,0,-
VBM,5,1,5,5,3,60.00%,2,40.00%
Early,5,1,0,0,0,-,0,-
Provisional,5,1,1,1,1 100.00%,,0,0.00%
Total,5,5,6,6,4,66.67%,2,33.33%
M111311,,,,,,,,
Polling OS,0,1,0,0,0,-,0,-
Polling TS,0,1,0,0,0,-,0,-
VBM,0,1,0,0,0,-,0,-
Early,0,1,0,0,0,-,0,-
Provisional,0,1,0,0,0,-,0,-
Total,0,5,0,0,0,-,0,-
M111320,,,,,,,,
Polling OS,0,1,0,0,0,-,0,-
Polling TS,0,1,0,0,0,-,0,-
VBM,0,1,0,0,0,-,0,-
Early,0,1,0,0,0,-,0,-
Provisional,0,1,0,0,0,-,0,-

P,,,,"Statement of Votes Cast
2016 General Election",,,,"Date:12/06/16
Time:10:17:49
Page:2661 of 6804"
,,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,
by Precinct,,,,OFFICIAL FINAL RESULTS,,,,PDF Page: 3091 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,
Total,0,5,0,0,0,-,0,-
M111410,,,,,,,,
Polling OS,0,1,0,0,0,-,0,-
Polling TS,0,1,0,0,0,-,0,-
VBM,0,1,0,0,0,-,0,-
Early,0,1,0,0,0,-,0,-
Provisional,0,1,0,0,0,-,0,-
Total,0,5,0,0,0,-,0,-
M111430,,,,,,,,
Polling OS,0,1,0,0,0,-,0,-
Polling TS,0,1,0,0,0,-,0,-
VBM,0,1,0,0,0,-,0,-
Early,0,1,0,0,0,-,0,-
Provisional,0,1,0,0,0,-,0,-
Total,0,5,0,0,0,-,0,-
M111431,,,,,,,,
Polling OS,0,1,0,0,0,-,0,-
Polling TS,0,1,0,0,0,-,0,-
VBM,0,1,0,0,0,-,0,-
Early,0,1,0,0,0,-,0,-
Provisional,0,1,0,0,0,-,0,-
Total,0,5,0,0,0,-,0,-
M111440,,,,,,,,
Polling OS,3,1,0,0,0,-,0,-
Polling TS,3,1,0,0,0,-,0,-
VBM,3,1,1,1,0,0.00%,1 100.00%,
Early,3,1,0,0,0,-,0,-
Provisional,3,1,0,0,0,-,0,-
Total,3,5,1,1,0,0.00%,1 100.00%,
M111441,,,,,,,,
Polling OS,3,1,0,0,0,-,0,-
Polling TS,3,1,0,0,0,-,0,-
VBM,3,1,3,3,1,33.33%,2,66.67%
Early,3,1,0,0,0,-,0,-
Provisional,3,1,0,0,0,-,0,-
Total,3,5,3,3,1,33.33%,2,66.67%
M111510,,,,,,,,
Polling OS,116,1,0,0,0,-,0,-
Polling TS,116,1,0,0,0,-,0,-
VBM,116,1,64,62,19,30.65%,43,69.35%
Early,116,1,0,0,0,-,0,-
Provisional,116,1,5,5,2,40.00%,3,60.00%

P,,,,"Statement of Votes Cast
2016 General Election",,,,"Date:12/06/16
Time:10:17:49
Page:2662 of 6804"
,,,"SOVC For Jurisdiction Wide, All Counters, All Races",,,,,
by Precinct,,,,OFFICIAL FINAL RESULTS,,,,PDF Page: 3092 of 7391
,,,STOCKTON MAYOR,,,,,
Reg. Voters,Vote For,,Times Counted,Total Votes,ANTHONY SILVA,,MICHAEL TUBBS,
Total,116,5,69,67,21,31.34%,46,68.66%
M111530,,,,,,,,
Polling OS,226,1,0,0,0,-,0,-
Polling TS,226,1,0,0,0,-,0,-
VBM,226,1,142,133,43,32.33%,90,67.67%
Early,226,1,0,0,0,-,0,-
Provisional,226,1,10,9,1,11.11%,8,88.89%
Total,226,5,152,142,44,30.99%,98,69.01%
M111750,,,,,,,,
Polling OS,23,1,0,0,0,-,0,-
Polling TS,23,1,0,0,0,-,0,-
VBM,23,1,10,10,6,60.00%,4,40.00%
Early,23,1,0,0,0,-,0,-
Provisional,23,1,1,1,0,0.00%,1 100.00%,
Total,23,5,11,11,6,54.55%,5,45.45%
M111751,,,,,,,,
Polling OS,1,1,0,0,0,-,0,-
Polling TS,1,1,0,0,0,-,0,-
VBM,1,1,1,1,0,0.00%,1 100.00%,
Early,1,1,0,0,0,-,0,-
Provisional,1,1,0,0,0,-,0,-
Total,1,5,1,1,0,0.00%,1 100.00%,
M112330,,,,,,,,
